id,name,category,description,sku,weight_or_size,packaging,nutrition,ingredients,image_thumbnail,product_url,innovative_flag
318,Cream Cheese 140g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,140g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Jar%20-%20140%20-%20Cream%20-%20Eyad.png,/index.php/en/products/318,False
240,Feta White Cheese - Full Fat 450g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,450g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20450g%20FF%20-%20Eyad.png,/index.php/en/products/240,False
230,Flavored Laban Mango 340ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,340ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Mango%20Flavored%20340ml%20-%20Eyad.png,/en/products/230,False
221,Fresh Laban Full Fat 1.75L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.75L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Laban%201.75L%20FF%20-%20Ar%20-%20Eyad%20copy.png,/en/products/221,False
222,Fresh Laban Full Fat 800ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,800ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/DSC_8055.png,/en/products/222,False
145,Fresh Milk Full Fat 2.85L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,2.85L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/2.85%20litre%20milk.png,/index.php/en/products/145,False
245,Full Fat Feta White Cheese 250g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,250g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20250g%20-%20AR%20Eyad_0.png,/en/products/245,False
166,Greek Yoghurt Plain 160g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,160g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Plain%2019-01-2023.png,/en/products/166,True
247,Halloumi Cheese 215g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,215g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/%D8%AC%D8%A8%D9%86%D8%A9%20%D8%AD%D9%84%D9%88%D9%85%D9%8A%20215%20%D8%BA.png,/en/products/247,False
267,Low Fat Cheese Slices 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Low%20Fat%20200g%20-%20Eyad.png,/en/products/267,False
264,Low Fat Cheese Slices 400g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,400g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Low%20Fat%20400g%20-%20Eyad.png,/en/products/264,False
260,Mozzarella Cheese 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Mozzarella%20200g%20-%20Eyad.png,/en/products/260,False
259,Mozzarella Cheese 500g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Mozzarella%20500g%20-%20Eyad_0.png,/index.php/en/products/259,False
263,Sandwich Cheese Slices 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Sandwich%20200g%20-%20Eyad.png,/en/products/263,False
262,Sandwich Cheese Slices 400g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,400g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Sandwich%20400g%20-%20Eyad_0.png,/en/products/262,False
274,Whipping Cream 1L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Whipping%20Cream%20-%20Eyad.png,/index.php/en/products/274,False
235,Ayran Laban Drink 180ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/6281057005611_0.png,/en/products/235,True
321,Cheddar Cheese 140g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,140g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Jar%20-%20140%20-%20CHEDDAR%20-%20Eyad%20.png,/en/products/321,False
320,Cheddar Cheese 240g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,240g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Jar%20-%20240%20-%20CHEDDAR%20-%20Eyad.png,/en/products/320,False
51,Chocolate Flavoured Long Life Milk 185ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,185ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/FLV%20UHT%20185ml%20Chocolate%20Milk.png,/index.php/en/products/51,False
315,Cream Cheese 900g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,900g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Jar%20-%20910%20-%20Cream%20-%20Eyad_0.png,/en/products/315,False
219,Fresh Cream Lite 100g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,100g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Fresh%20Cream%20100g%20LITE%20-%20Eyad.png,/index.php/en/products/219,False
227,Fresh Laban Low Fat 1.75L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.75L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Laban%201.75L%20LF%20-%20Ar%20-%20Eyad.png,/en/products/227,False
147,Fresh Milk Full Fat 800ML,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,800ML,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Milk%20800ml%20Full%20Fat%20Arabic.png,/index.php/en/products/147,False
183,Full Fat Milk 125ML,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,125ML,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/Plain%20Milk%20125ml_Ar.png,/index.php/en/products/183,False
68,Full Fat Milk 1L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2026-04/1L%20FF%20UHT%20Milk%20%281%29.png,/index.php/en/products/68,False
182,Full Fat Milk 200ML,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200ML,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/UHT%20200ml%20AR%20FF%20Front%20-%20Eyad.png,/index.php/en/products/182,False
167,Greek Yoghurt Plain Low Fat 160g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,160g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Plain%20LF%2014-06-2023%20-%20Eyad.png,/en/products/167,True
133,Lactose Free Full Fat Long Life Milk 1L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/LactoFree%20FF%201%20Liter%20HeliCap%20-%20Eyad%20%281%29.png,/index.php/en/products/133,False
69,Low Fat Milk 1L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/UHT%20Milk%20LF%201%20L-%20AR%20-%202024%20Eyad.png,/index.php/en/products/69,False
199,Low Fat Milk 200ML,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200ML,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/UHT%20200ml%20AR%20LF%20Front%20-%20Eyad.png,/index.php/en/products/199,False
518,Al Hilal Double Chocolate Flavoured Long Life Milk 185ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,185ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-05/Double%20Chocolate%20Milk.png,/en/products/518,False
520,Al Hilal Full Fat Long Life Milk 185ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,185ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-05/UHT%20Plain%20Milk.png,/en/products/520,False
519,Al Hilal Strawberry Flavoured Long Life Milk 185ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,185ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-05/UHT%20Strawberry%20Milk.png,/en/products/519,False
244,Analogue Full Fat Feta White Cheese 500g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Feta%20500g%20-%20AR%20Eyad.png,/en/products/244,False
234,Ayran Laban Drink 225ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,225ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/6281057004133.png,/en/products/234,True
278,Banana Dessert 75g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,75g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/Pudding_Bannana%201.png,/index.php/en/products/278,False
353,Butter Analogue Unsalted 1kg,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1kg,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Butter%201k%20-2-%20Eyad.png,/en/products/353,False
348,Butter Analogue Unsalted 500g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Butter%20500g%20-2-%20Eyad.png,/en/products/348,False
269,Cheddar Cheese Slices 200g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,200g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Cheddar%20200g%20-%20Eyad.png,/en/products/269,False
266,Cheddar Cheese Slices 400g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,400g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Cheddar%20400g%20-%20Eyad_0.png,/en/products/266,False
515,Chocolate Coconut Flavored Milk 225ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,225ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-05/Chocolate%20Coconut%20225ml%20AR%20-%20Eyad%201_0.png,/en/products/515,True
123,Chocolate Flavored Long Life Milk 125ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,125ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/FLV%20Milk%20125ml_Chocolate_Ar.png,/en/products/123,False
475,Cotton Candy Dessert 75g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,75g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/Pudding_Cotton%20Candy%201.png,/index.php/en/products/475,False
481,Cotton Candy Milk 125ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,125ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/FLV%20Milk%20125ml_Cotton%20Candy_Ar.png,/index.php/en/products/481,False
317,Cream Cheese 240g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,240g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Jar%20-%20240%20-%20Cream%20-%20Eyad.png,/en/products/317,False
316,Cream Cheese 500g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,500g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/jar%20-%20500%20-%20Cream%20-%20Eyad.png,/en/products/316,False
161,Dates Milk 225ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,225ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Dates%20Ar%20-%20Eyad%20%281%29.png,/en/products/161,True
229,Flavored Laban Mango 180ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Mango%20Flavored%20180ml%20-%20Eyad.png,/en/products/229,False
232,Flavored Laban Strawberry 180ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Strawberry%20Flavored%20200ml%20-%20Eyad.png,/en/products/232,False
231,Flavored Laban Strawberry 340ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,340ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Strawberry%20Flavored%20340ml%20-%20Eyad.png,/en/products/231,False
482,Flavored Milk Toffee 125ML,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,125ML,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/FLV%20Milk%20125ml_Toffee_Ar.png,/index.php/en/products/482,False
202,Fresh Chocolate Flavored Milk 200 ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Chocolate%20200ml%20-%20Eyad_1.png,/index.php/en/products/202,False
152,Fresh Chocolate Flavored Milk 360 ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Chocolate%20360ml%20-%20Eyad.png,/index.php/en/products/152,False
218,Fresh Cream Full Fat 100g,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,100g,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Fresh%20Cream%20100g%20FF%20-%20Eyad_0.png,/index.php/en/products/218,False
224,Fresh Laban Full Fat 180ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Laban%20180ml%20-%20FF%20-%20Eyad.png,/index.php/en/products/224,False
220,Fresh Laban Full Fat 2.85L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,2.85L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/2.85%20litre%20laban.png,/index.php/en/products/220,False
223,Fresh Laban Full Fat 340ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,340ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Laban%20340ml%20-%20FF%20-%20%20Eyad.png,/index.php/en/products/223,False
226,Fresh Laban Low Fat 180ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Laban%20180ml%20-%20LF%20-%20Eyad.png,/index.php/en/products/226,False
225,Fresh Laban Low Fat 2.85L,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,2.85L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/2.85%20litre%20laban%20LowFat.png,/index.php/en/products/225,False
228,Fresh Laban Low Fat 800ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,800ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/800ml%20Low%20Fat%20Arabic.png,/index.php/en/products/228,False
198,Fresh Mango Flavored Milk 200 ml,Dairy (Milk and Cheese),Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2024-06/Mango%20200%20ml%20-%20Eyad_0.png,/index.php/en/products/198,False
58,Apple Juice 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/58,False
293,Guava with Mix Fruit Nectar 300ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,300ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/293,False
296,Kiwi Lime Mint with Mix Fruit Nectar 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/296,False
302,Mix Fruit Nectar 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/302,False
303,Mix Fruit Nectar 300ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,300ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/303,False
284,Pineapple with Mix Fruit Nectar 1.3L,Juices,"Pasteurized, Reconstituted pineapple with mix fruit nectar beverage",,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/product_detail_style/public/2025-02/Pineapple1.3L-Eya.png,/en/products/284,False
60,Pineapple with Mix Fruit Nectar 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/60,False
310,Pomegranate with Mix Fruit Nectar 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/310,False
294,Guava with Mix Fruit Nectar 1.3L,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/294,False
292,Guava with Mix Fruit Nectar 180ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,180ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/292,False
295,Kiwi Lime Mint with Mix Fruit Nectar 1.3L,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/295,False
301,Mango with Mix Fruit Nectar 1.3L,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),,/en/products/301,False
300,Mango with Mix Fruit Nectar 300ml,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,300ml,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/Mango300ml-Eya.png,/en/products/300,False
309,Orange Carrot with Mix Fruit Nectar 1.3L,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/OrangeCarrot1.3L-Eya.png,/index.php/en/products/309,False
281,Orange Juice 1.3L,Juices,Not extracted at detail-page level for full catalog (see sample detail extraction for products/284),,1.3L,,Not publicly available (not shown on product detail pages crawled),Not publicly available (not shown on product detail pages crawled),/sites/default/files/styles/item_sm/public/2025-02/Orange1.3L-Eya.png,/index.php/en/products/281,False
